DL,2283,DTW,ATL,-2,594,-31
DL,2370,MSY,LGA,-6,1183,-3
DL,1598,SEA,ATL,1,2182,13
DL,1809,EWR,ATL,-1,746,-38
DL,1872,TPA,ATL,-1,406,-15
EV,2549,BPT,DFW,0,270,1
EV,3261,RIC,IAD,-1,100,-7
EV,3929,EWR,JAX,0,820,-13
EV,4306,GPT,IAH,-7,376,-5
F9,295,TPA,DEN,80,1506,69
F9,711,RSW,DEN,17,1607,9
F9,1246,DEN,DFW,4,641,17
F9,1108,CLE,MCO,-2,895,-6
OO,2604,SAN,LAX,-10,109,-16
NK,379,ACY,MYR,-9,466,10
OO,5381,STC,ORD,-7,394,7
OO,4553,BOI,LAX,-6,674,-9
OO,5186,SFO,SAN,7,447,-4
OO,5581,MSP,LAX,0,1535,12
OO,6588,BFL,PHX,0,425,-1
UA,1534,TPA,ORD,-2,1012,-5
EV,5764,ORD,IAD,-5,589,-17
HA,114,HNL,OGG,-5,100,-6
B6,675,JFK,MSY,-8,1182,2
OO,5297,MKE,ORD,-10,67,-25
UA,410,MIA,ORD,-2,1197,19
US,700,SEA,PHL,-8,2378,-23
WN,1926,SAT,ATL,-1,874,-10
WN,1119,PDX,MDW,-3,1751,-6
US,474,LAS,PHX,-7,255,-13
AA,129,JAX,DFW,13,918,8
AA,1543,PIT,DFW,-8,1067,-27
AA,2220,COS,DFW,-12,592,-9
AS,240,SEA,SAN,-6,1050,-8
AS,576,PDX,SAN,-7,933,-12
AS,724,SEA,SLC,-10,689,-10
B6,475,PVD,MCO,-6,1072,8
B6,1467,HPN,PBI,-11,1056,-26
AA,1441,JFK,LAS,21,2248,45
DL,2005,MLB,ATL,-3,442,-17
DL,2290,PIT,ATL,-2,526,-41
DL,1864,SAN,MSP,-3,1532,-10
EV,5579,ABE,ATL,-7,692,-20
OO,4758,PLN,DTW,-9,243,-1
OO,3460,PDX,ONT,0,838,-13
UA,665,RSW,EWR,-6,1068,-15
DL,1056,SJC,MSP,-5,1576,-2
OO,4577,CIU,DTW,-3,284,-17
US,1718,MCO,CLT,-3,468,-8
US,1943,BWI,CLT,-3,361,-2
US,1946,EWR,CLT,8,529,-9
WN,795,AUS,ATL,-3,813,-19
WN,692,CAK,MCO,-4,861,-16
WN,1170,FLL,LAS,-1,2173,-15
WN,653,MKE,LAS,-5,1524,-12
WN,890,PHX,MDW,-7,1444,-16
WN,832,SJC,LAS,0,386,-5
UA,1284,LAS,EWR,-1,2227,-37
UA,1748,ORD,EWR,3,719,2
AA,1305,DSM,DFW,-7,624,-3
AA,1562,RIC,DFW,-4,1158,-7
AS,548,BLI,SEA,-8,93,14
AS,558,PDX,LAX,3,834,-5
AS,560,SEA,PSP,-4,987,-16
AS,569,LAX,PDX,-1,834,-7
AS,662,SEA,DFW,-7,1660,10
AS,709,SLC,SJC,67,584,50
